Timestamp,LaneState,Deviation(px),EMA_Deviation(px),BlinkerLeft,BlinkerRight,Violation
2025-10-27 16:58:54,left_drift,-78,-3.89,0,0,
2025-10-27 16:58:54,left_drift,-69,-20.17,0,0,
2025-10-27 16:58:54,centered,-26,-21.63,0,0,
2025-10-27 16:58:55,left_drift,-84,-37.22,0,0,
2025-10-27 16:58:55,left_drift,-45,-39.16,0,0,
2025-10-27 16:58:55,centered,-7,-31.12,0,0,
2025-10-27 16:58:55,right_drift,44,-12.34,0,0,
2025-10-27 16:58:55,centered,-26,-15.76,0,0,
2025-10-27 16:58:55,left_drift,-79,-31.57,0,0,
2025-10-27 16:58:55,centered,-37,-32.93,0,0,
2025-10-27 16:58:56,centered,-26,-31.19,0,0,
2025-10-27 16:58:56,left_drift,-102,-48.9,0,0,
2025-10-27 16:58:56,centered,-15,-40.42,0,0,
2025-10-27 16:58:56,left_drift,-56,-44.32,0,0,
2025-10-27 16:58:56,left_drift,-49,-45.49,0,0,
2025-10-27 16:58:56,centered,-36,-43.12,0,0,
2025-10-27 16:58:56,centered,-13,-35.59,0,0,
2025-10-27 16:58:56,right_drift,65,-10.44,0,0,
2025-10-27 16:58:57,centered,28,-0.83,0,0,
2025-10-27 16:58:57,right_drift,50,11.88,0,0,
2025-10-27 16:58:57,right_drift,71,26.66,0,0,
2025-10-27 16:58:57,right_drift,58,34.49,0,0,
2025-10-27 16:58:57,right_drift,108,52.87,0,0,
2025-10-27 16:58:57,right_drift,89,61.9,0,0,
2025-10-27 16:58:57,right_drift,137,80.68,0,0,
2025-10-27 16:58:58,right_drift,81,80.76,0,0,
2025-10-27 16:58:58,right_drift,95,84.32,0,0,
2025-10-27 16:58:58,right_drift,74,81.74,0,0,
2025-10-27 16:58:58,right_drift,66,77.8,0,0,unsignaled_right_deviation
2025-10-27 16:58:58,right_drift,102,83.85,0,0,
2025-10-27 16:58:58,right_drift,70,80.39,0,0,
2025-10-27 16:58:58,right_drift,55,74.04,0,0,
2025-10-27 16:58:58,lane_boundary_missing,0,55.53,0,0,
2025-10-27 16:58:59,lane_boundary_missing,0,41.65,0,0,
2025-10-27 16:58:59,right_drift,81,51.49,0,0,
2025-10-27 16:58:59,right_drift,101,63.86,0,0,
2025-10-27 16:58:59,right_drift,83,68.65,0,0,
2025-10-27 16:58:59,right_drift,59,66.24,0,0,
2025-10-27 16:58:59,lane_boundary_missing,0,49.68,0,0,
2025-10-27 16:58:59,right_drift,81,57.51,0,0,
2025-10-27 16:59:00,centered,-11,40.38,0,0,
2025-10-27 16:59:00,centered,-2,29.79,0,0,
2025-10-27 16:59:00,lane_boundary_missing,0,22.34,0,0,
2025-10-27 16:59:00,centered,1,17.0,0,0,
